index,param,value
17,traffic_density,10
30,traffic_density,10
32,traffic_density,10
34,traffic_density,10
47,lidar_dropout_prob,9
50,lidar_gaussian_noise,10
56,traffic_density,10
58,map,7
59,traffic_density,10
60,traffic_density,10
62,traffic_density,10
63,traffic_density,10
65,traffic_density,10
66,map,10
72,traffic_density,10
73,map,10
74,map,10
75,accident_prob,10
80,map,10
81,traffic_density,10
82,traffic_density,10
86,map,10
87,traffic_density,10
92,traffic_density,10
95,traffic_density,7
97,traffic_density,6
98,map,10
99,lane_line_detector_distance,10
